ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
GZ261FQ01BL7XY	230nt	1.9eNegative09	48	68	115	Positive	87.50	ASXD01000001.1	782861	782908
GZ261FQ02HB0JW	253nt	3.1eNegative08	40	40	1	Negative	90.00	ASXD01000001.1	379324	379363
GZ261FQ01AULVM	102nt	8.6eNegative06	47	22	68	Positive	82.98	ASXD01000001.1	726366	726412
GZ261FQ01DS42I	161nt	1.2eNegative39	154	2	155	Positive	84.42	ASXD01000001.1	2857424	2857577
GZ261FQ01CLNGD	325nt	7.4eNegative10	43	96	138	Positive	90.70	ASXD01000001.1	45278	45320
GZ261FQ01CJJ7B	191nt	1.9eNegative16	189	189	1	Negative	74.07	ASXD01000001.1	986593	986781
GZ261FQ01BSGRT	112nt	1.5eNegative15	88	91	4	Negative	81.82	ASXD01000001.1	864751	864838
GZ261FQ01DJGLT	159nt	9.1eNegative11	110	152	43	Negative	76.36	ASXD01000001.1	1105093	1105202
GZ261FQ01CFOCC	322nt	8.1eNegative06	60	309	250	Negative	80.00	ASXD01000001.1	1038887	1038946
GZ261FQ01BXLBC	285nt	5.3eNegative18	75	43	117	Positive	86.67	ASXD01000001.1	1093082	1093156
GZ261FQ01BZ0QL	208nt	7.7eNegative16	83	126	208	Positive	83.13	ASXD01000001.1	1124301	1124383
GZ261FQ01BA735	124nt	1.3eNegative12	44	8	51	Positive	93.18	ASXD01000001.1	1444501	1444544
GZ261FQ01C14M9	232nt	2.0eNegative09	54	94	147	Positive	85.19	ASXD01000001.1	1028100	1028153
GZ261FQ01E1UR5	124nt	3.0eNegative17	124	124	1	Negative	78.23	ASXD01000001.1	1444815	1444938
GZ261FQ01BJ1OX	116nt	8.2eNegative14	58	58	1	Negative	87.93	ASXD01000001.1	2346454	2346511
GZ261FQ01AVBVK	283nt	1.7eNegative10	83	283	201	Negative	79.52	ASXD01000001.1	725155	725237
GZ261FQ01CMSTT	143nt	3.9eNegative13	120	138	19	Negative	76.67	ASXD01000001.1	851492	851611
GZ261FQ01AU42P	205nt	6.5eNegative09	44	195	152	Negative	88.64	ASXD01000001.1	1121634	1121677
GZ261FQ01CIJEA	134nt	3.3eNegative17	73	111	39	Negative	86.30	ASXD01000001.1	494995	495067
GZ261FQ01BUQ7K	314nt	2.4eNegative13	80	53	132	Positive	83.75	ASXD01000001.1	2172042	2172120
GZ261FQ01EVA29	177nt	5.0eNegative13	48	91	138	Positive	91.67	ASXD01000001.1	2785734	2785781
GZ261FQ01DF9ZS	172nt	2.0eNegative08	100	102	3	Negative	77.23	ASXD01000001.1	848178	848278
GZ261FQ01CCYWA	275nt	6.6eNegative21	80	205	126	Negative	87.50	ASXD01000001.1	1293804	1293883
GZ261FQ01CI29X	261nt	1.4eNegative14	171	16	186	Positive	74.27	ASXD01000001.1	1121516	1121686
GZ261FQ01CVQDU	201nt	5.7eNegative13	70	100	169	Positive	85.71	ASXD01000001.1	2022720	2022788
GZ261FQ01DLMN2	274nt	3.9eNegative15	115	1	115	Positive	78.26	ASXD01000001.1	430218	430332
GZ261FQ01C41C4	152nt	5.1eNegative05	43	50	92	Positive	83.72	ASXD01000001.1	1293808	1293850
GZ261FQ01BOKB4	130nt	4.6eNegative16	83	83	1	Negative	83.13	ASXD01000001.1	865198	865280
GZ261FQ01ALDA5	207nt	1.1eNegative14	69	137	205	Positive	85.51	ASXD01000001.1	2917800	2917868
GZ261FQ01CPTOU	194nt	9.2eNegative19	151	193	43	Negative	76.82	ASXD01000001.1	850230	850380
GZ261FQ01AXRMO	110nt	7.7eNegative14	58	58	1	Negative	87.93	ASXD01000001.1	2346454	2346511
GZ261FQ01DK4OE	245nt	3.0eNegative08	70	5	74	Positive	81.69	ASXD01000001.1	2022600	2022670
GZ261FQ01BLVYY	124nt	3.0eNegative17	124	124	1	Negative	78.23	ASXD01000001.1	1444815	1444938
GZ261FQ01AL5LV	204nt	1.9eNegative05	59	92	34	Negative	79.66	ASXD01000001.1	377419	377477
GZ261FQ01CB6HU	259nt	9.2eNegative05	64	139	76	Negative	78.12	ASXD01000001.1	2556441	2556504
GZ261FQ01BRIWW	207nt	3.5eNegative07	83	13	95	Positive	77.11	ASXD01000001.1	2620235	2620317
GZ261FQ01DVHO3	145nt	4.9eNegative05	64	80	17	Negative	78.12	ASXD01000001.1	1503511	1503574
GZ261FQ01CBBG5	322nt	2.8eNegative09	120	284	165	Negative	75.00	ASXD01000001.1	726287	726406
GZ261FQ01BDIAQ	232nt	1.7eNegative28	168	204	37	Negative	80.59	ASXD01000001.1	815126	815295
GZ261FQ01DLZEP	112nt	9.6eNegative06	86	91	6	Negative	75.58	ASXD01000001.1	1887299	1887384
GZ261FQ01B80OV	101nt	8.5eNegative06	53	42	94	Positive	81.13	ASXD01000001.1	494050	494102
GZ261FQ01DLZRN	280nt	4.4eNegative11	48	128	81	Negative	89.58	ASXD01000001.1	1307200	1307247
GZ261FQ01B4I9A	122nt	4.7eNegative12	122	122	1	Negative	77.05	ASXD01000001.1	1444818	1444938
GZ261FQ01CZXVG	292nt	5.1eNegative07	65	215	279	Positive	80.00	ASXD01000001.1	826333	826397
GZ261FQ01CGWW1	329nt	6.8eNegative14	83	322	240	Negative	81.93	ASXD01000001.1	1096742	1096824
GZ261FQ01DJCP1	172nt	2.9eNegative07	44	96	139	Positive	86.36	ASXD01000001.1	1728879	1728922
GZ261FQ01CLRJH	246nt	3.7eNegative26	140	107	246	Positive	80.71	ASXD01000001.1	849503	849642
GZ261FQ01EN5U8	194nt	2.7eNegative15	79	193	115	Negative	83.54	ASXD01000001.1	1503496	1503574
GZ261FQ01A0D5F	232nt	1.1eNegative07	72	149	220	Positive	79.17	ASXD01000001.1	1307281	1307352
GZ261FQ01CHPP0	281nt	5.2eNegative18	105	118	222	Positive	80.95	ASXD01000001.1	2876293	2876397
GZ261FQ01DHOIO	186nt	8.3eNegative08	72	146	75	Negative	79.17	ASXD01000001.1	1686379	1686450
GZ261FQ01DW4HC	255nt	2.5eNegative16	72	205	134	Negative	86.11	ASXD01000001.1	1444795	1444866
GZ261FQ01C1Z8U	235nt	2.3eNegative16	153	219	67	Negative	75.82	ASXD01000001.1	1595074	1595226
GZ261FQ01BA6AB	211nt	2.3eNegative12	47	163	209	Positive	91.49	ASXD01000001.1	2885422	2885468
GZ261FQ01CPEDM	286nt	1.2eNegative11	112	1	112	Positive	76.79	ASXD01000001.1	1823915	1824026
GZ261FQ01CPEDM	286nt	2.7eNegative05	59	205	263	Positive	79.66	ASXD01000001.1	2968711	2968769
GZ261FQ01DNFDJ	224nt	1.3eNegative10	71	95	25	Negative	81.69	ASXD01000001.1	1301728	1301798
GZ261FQ01BACG9	233nt	5.8eNegative06	42	64	105	Positive	85.71	ASXD01000001.1	827181	827222
GZ261FQ01DRKXC	110nt	1.2eNegative08	43	29	71	Positive	88.37	ASXD01000001.1	725220	725262
GZ261FQ01B4P3Z	244nt	1.9eNegative13	106	164	59	Negative	78.30	ASXD01000001.1	1581950	1582055
GZ261FQ01B4P3Z	244nt	5.5eNegative10	55	161	107	Negative	85.45	ASXD01000001.1	1293796	1293850
GZ261FQ01C50HF	179nt	5.9eNegative20	96	6	101	Positive	83.33	ASXD01000001.1	589710	589805
GZ261FQ01C8N9R	245nt	3.8eNegative11	78	15	92	Positive	80.77	ASXD01000001.1	778749	778826
GZ261FQ01D0X1B	343nt	1.9eNegative14	78	231	154	Negative	83.33	ASXD01000001.1	1028100	1028177
GZ261FQ01CDGZ5	309nt	4.7eNegative26	239	9	247	Positive	74.90	ASXD01000001.1	2387099	2387337
GZ261FQ01AZ5XX	248nt	1.0eNegative11	106	179	74	Negative	77.36	ASXD01000001.1	2304217	2304322
GZ261FQ01DAW7J	315nt	2.5eNegative13	97	195	291	Positive	79.38	ASXD01000001.1	2137555	2137651
GZ261FQ01CTYO0	237nt	2.3eNegative16	117	29	145	Positive	78.63	ASXD01000001.1	1443817	1443933
GZ261FQ01A5XNR	268nt	6.7eNegative06	57	152	96	Negative	80.70	ASXD01000001.1	725221	725277
