ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	263	170	Negative	85.11	contig_Exi	3604	3695
GZ261FQ02FN54Z	343nt	4.6eNegative97	328	7	334	Positive	85.98	contig_Exi	4222	4547
GZ261FQ01CWII6	281nt	1.3eNegative18	79	89	11	Negative	86.08	contig_Exi	852686	852764
GZ261FQ01BT86R	133nt	1.1eNegative20	110	114	5	Negative	83.78	contig_Exi	2809	2918
GZ261FQ01BB790	229nt	3.8eNegative07	50	25	74	Positive	84.00	contig_Exi	1812592	1812641
GZ261FQ01BC4HH	186nt	1.9eNegative12	98	76	173	Positive	79.80	contig_Exi	983049	983147
GZ261FQ01AULVM	102nt	2.0eNegative10	52	70	19	Negative	86.54	contig_Exi	1726848	1726899
GZ261FQ01C96KJ	220nt	7.9eNegative16	143	186	44	Negative	76.22	contig_Exi	1704197	1704339
GZ261FQ01AP76L	105nt	1.9eNegative14	95	11	105	Positive	82.47	contig_Exi	1970373	1970469
GZ261FQ01CB9N6	323nt	1.0eNegative08	74	117	44	Negative	79.73	contig_Exi	2303831	2303904
GZ261FQ01B65C1	202nt	3.3eNegative07	44	43	86	Positive	86.36	contig_Exi	1867068	1867111
GZ261FQ01DP68U	152nt	7.2eNegative30	122	25	146	Positive	85.37	contig_Exi	1363	1485
GZ261FQ01BZ0QL	208nt	1.1eNegative14	81	126	206	Positive	82.72	contig_Exi	1459017	1459097
GZ261FQ01CTM49	180nt	2.9eNegative07	77	43	119	Positive	77.92	contig_Exi	462988	463064
GZ261FQ01BJ1OX	116nt	1.6eNegative11	48	48	1	Negative	89.58	contig_Exi	1574521	1574568
GZ261FQ01CMSTT	143nt	4.4eNegative20	135	4	138	Positive	78.52	contig_Exi	251892	252026
GZ261FQ01AU42P	205nt	6.3eNegative09	44	195	152	Negative	88.64	contig_Exi	1456346	1456389
GZ261FQ01C28CW	116nt	2.6eNegative32	110	1	110	Positive	87.61	contig_Exi	1347	1459
GZ261FQ01AI0L6	282nt	8.8eNegative09	80	88	167	Positive	78.75	contig_Exi	840384	840463
GZ261FQ01CUORL	109nt	1.9eNegative14	98	1	98	Positive	79.59	contig_Exi	4463	4560
GZ261FQ01A1V13	278nt	3.5eNegative19	110	12	121	Positive	80.91	contig_Exi	386564	386673
GZ261FQ01EVA29	177nt	2.6eNegative11	48	138	91	Negative	89.58	contig_Exi	286687	286734
GZ261FQ01CSBOT	296nt	2.7eNegative05	56	239	294	Positive	80.36	contig_Exi	1640623	1640678
GZ261FQ01CCYWA	275nt	7.0eNegative17	100	126	225	Positive	81.00	contig_Exi	2692664	2692763
GZ261FQ01CI29X	261nt	4.7eNegative18	171	16	186	Positive	75.44	contig_Exi	1456228	1456398
GZ261FQ01DIJRJ	235nt	6.6eNegative13	57	67	11	Negative	87.72	contig_Exi	1865982	1866038
GZ261FQ01DLMN2	274nt	5.4eNegative14	113	114	2	Negative	77.88	contig_Exi	2035267	2035379
GZ261FQ01C46QP	223nt	1.3eNegative21	117	65	181	Positive	81.20	contig_Exi	1727993	1728109
GZ261FQ01DOWVR	263nt	1.0eNegative26	216	243	28	Negative	75.93	contig_Exi	269241	269456
GZ261FQ01BI4MG	322nt	3.5eNegative12	164	2	165	Positive	73.78	contig_Exi	596778	596941
GZ261FQ01BY5HB	164nt	1.2eNegative24	69	82	150	Positive	95.65	contig_Exi	1121	1188
GZ261FQ01ALDA5	207nt	2.8eNegative15	61	145	205	Positive	88.52	contig_Exi	618019	618079
GZ261FQ01ALDA5	207nt	2.8eNegative15	61	205	145	Negative	88.52	contig_Exi	1592155	1592215
GZ261FQ01CPTOU	194nt	1.2eNegative06	70	124	193	Positive	78.57	contig_Exi	253219	253288
GZ261FQ01AXRMO	110nt	1.5eNegative11	48	48	1	Negative	89.58	contig_Exi	1574521	1574568
GZ261FQ01DK4OE	245nt	1.8eNegative13	70	74	5	Negative	85.92	contig_Exi	2163201	2163271
GZ261FQ01B29NZ	182nt	7.5eNegative23	59	25	83	Positive	96.61	contig_Exi	139739	139797
GZ261FQ01B29NZ	182nt	2.8eNegative22	58	26	83	Positive	96.55	contig_Exi	2551939	2551996
GZ261FQ01B29NZ	182nt	1.1eNegative21	57	27	83	Positive	96.49	contig_Exi	2662559	2662615
GZ261FQ01B29NZ	182nt	2.0eNegative23	60	83	24	Negative	96.67	contig_Exi	62	121
GZ261FQ01B29NZ	182nt	2.8eNegative22	58	83	26	Negative	96.55	contig_Exi	1481842	1481899
GZ261FQ01B29NZ	182nt	1.1eNegative21	57	83	27	Negative	96.49	contig_Exi	3019437	3019493
GZ261FQ01A723W	144nt	6.0eNegative08	42	24	65	Positive	88.10	contig_Exi	2703664	2703705
GZ261FQ01CB6HU	259nt	4.4eNegative07	107	3	109	Positive	74.77	contig_Exi	1812517	1812623
GZ261FQ01B3ZW6	205nt	3.1eNegative11	42	97	138	Positive	92.86	contig_Exi	1222068	1222109
GZ261FQ01AV3MB	105nt	6.0eNegative07	52	99	48	Negative	82.69	contig_Exi	216439	216490
GZ261FQ01AV3MB	105nt	7.7eNegative10	42	91	50	Negative	90.48	contig_Exi	215607	215648
GZ261FQ01DLZEP	112nt	1.3eNegative19	98	3	100	Positive	82.65	contig_Exi	1955833	1955930
GZ261FQ01BBKMR	346nt	1.3eNegative15	86	190	275	Positive	83.91	contig_Exi	2304028	2304114
GZ261FQ01CC50K	303nt	8.6eNegative13	72	218	289	Positive	83.33	contig_Exi	3562	3633
GZ261FQ01CGWW1	329nt	3.5eNegative12	71	310	240	Negative	83.10	contig_Exi	1431414	1431484
GZ261FQ01BX8F6	244nt	1.3eNegative14	57	14	70	Positive	89.47	contig_Exi	69	125
GZ261FQ01BX8F6	244nt	9.8eNegative12	52	65	14	Negative	88.46	contig_Exi	139739	139790
