ReadName	ReadLength	EReversevalue	AlignmentLength	Begin	End	Strand	Identity	ReferenceSequenceName	Begin	End
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	170	263	Positive	85.11	gi|229915734|ref|NC_012673.1|	1550907	1550998
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	170	263	Positive	85.11	gi|229915734|ref|NC_012673.1|	1609312	1609403
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	170	263	Positive	85.11	gi|229915734|ref|NC_012673.1|	1657868	1657959
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	170	263	Positive	85.11	gi|229915734|ref|NC_012673.1|	1663915	1664006
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	170	263	Positive	85.11	gi|229915734|ref|NC_012673.1|	1686833	1686924
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	263	170	Negative	85.11	gi|229915734|ref|NC_012673.1|	2034942	2035033
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	263	170	Negative	85.11	gi|229915734|ref|NC_012673.1|	2162972	2163063
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	263	170	Negative	85.11	gi|229915734|ref|NC_012673.1|	2168492	2168583
GZ261FQ01CYPCA	263nt	1.8eNegative17	94	263	170	Negative	85.11	gi|229915734|ref|NC_012673.1|	2379195	2379286
GZ261FQ02FN54Z	343nt	4.5eNegative97	328	7	334	Positive	85.98	gi|229915734|ref|NC_012673.1|	2035560	2035885
GZ261FQ02FN54Z	343nt	4.5eNegative97	328	7	334	Positive	85.98	gi|229915734|ref|NC_012673.1|	2163590	2163915
GZ261FQ02FN54Z	343nt	4.5eNegative97	328	7	334	Positive	85.98	gi|229915734|ref|NC_012673.1|	2379813	2380138
GZ261FQ02FN54Z	343nt	2.5eNegative95	328	7	334	Positive	85.67	gi|229915734|ref|NC_012673.1|	2169110	2169435
GZ261FQ02FN54Z	343nt	4.5eNegative97	328	334	7	Negative	85.98	gi|229915734|ref|NC_012673.1|	1550055	1550380
GZ261FQ02FN54Z	343nt	4.5eNegative97	328	334	7	Negative	85.98	gi|229915734|ref|NC_012673.1|	1608460	1608785
GZ261FQ02FN54Z	343nt	4.5eNegative97	328	334	7	Negative	85.98	gi|229915734|ref|NC_012673.1|	1663063	1663388
GZ261FQ02FN54Z	343nt	2.5eNegative95	328	334	7	Negative	85.67	gi|229915734|ref|NC_012673.1|	1657016	1657341
GZ261FQ02FN54Z	343nt	2.5eNegative95	328	334	7	Negative	85.67	gi|229915734|ref|NC_012673.1|	1685981	1686306
GZ261FQ01BT86R	133nt	5.8eNegative19	110	5	114	Positive	82.88	gi|229915734|ref|NC_012673.1|	1551684	1551793
GZ261FQ01BT86R	133nt	5.8eNegative19	110	5	114	Positive	82.88	gi|229915734|ref|NC_012673.1|	1610089	1610198
GZ261FQ01BT86R	133nt	5.8eNegative19	110	5	114	Positive	82.88	gi|229915734|ref|NC_012673.1|	1658645	1658754
GZ261FQ01BT86R	133nt	5.8eNegative19	110	5	114	Positive	82.88	gi|229915734|ref|NC_012673.1|	1664692	1664801
GZ261FQ01BT86R	133nt	5.8eNegative19	110	5	114	Positive	82.88	gi|229915734|ref|NC_012673.1|	1687610	1687719
GZ261FQ01BT86R	133nt	5.8eNegative19	110	114	5	Negative	82.88	gi|229915734|ref|NC_012673.1|	2034149	2034258
GZ261FQ01BT86R	133nt	5.8eNegative19	110	114	5	Negative	82.88	gi|229915734|ref|NC_012673.1|	2162177	2162286
GZ261FQ01BT86R	133nt	5.8eNegative19	110	114	5	Negative	82.88	gi|229915734|ref|NC_012673.1|	2167697	2167806
GZ261FQ01BT86R	133nt	5.8eNegative19	110	114	5	Negative	82.88	gi|229915734|ref|NC_012673.1|	2378400	2378509
GZ261FQ01BC4HH	186nt	5.6eNegative09	98	173	76	Negative	77.78	gi|229915734|ref|NC_012673.1|	1285316	1285414
GZ261FQ01BI62D	190nt	5.7eNegative09	68	91	24	Negative	80.88	gi|229915734|ref|NC_012673.1|	392758	392825
GZ261FQ01CB9N6	323nt	5.5eNegative07	74	117	44	Negative	78.38	gi|229915734|ref|NC_012673.1|	244577	244650
GZ261FQ01BEIA8	181nt	1.6eNegative05	41	124	84	Negative	85.37	gi|229915734|ref|NC_012673.1|	1696069	1696109
GZ261FQ01B65C1	202nt	4.7eNegative06	45	43	87	Positive	84.44	gi|229915734|ref|NC_012673.1|	2763373	2763417
GZ261FQ01DP68U	152nt	1.3eNegative31	122	25	146	Positive	86.18	gi|229915734|ref|NC_012673.1|	2032703	2032825
GZ261FQ01DP68U	152nt	1.3eNegative31	122	25	146	Positive	86.18	gi|229915734|ref|NC_012673.1|	2160732	2160854
GZ261FQ01DP68U	152nt	1.3eNegative31	122	25	146	Positive	86.18	gi|229915734|ref|NC_012673.1|	2166252	2166374
GZ261FQ01DP68U	152nt	1.3eNegative31	122	25	146	Positive	86.18	gi|229915734|ref|NC_012673.1|	2376954	2377076
GZ261FQ01DP68U	152nt	1.3eNegative31	122	146	25	Negative	86.18	gi|229915734|ref|NC_012673.1|	1553298	1553420
GZ261FQ01DP68U	152nt	1.3eNegative31	122	146	25	Negative	86.18	gi|229915734|ref|NC_012673.1|	1611522	1611644
GZ261FQ01DP68U	152nt	1.3eNegative31	122	146	25	Negative	86.18	gi|229915734|ref|NC_012673.1|	1660259	1660381
GZ261FQ01DP68U	152nt	1.3eNegative31	122	146	25	Negative	86.18	gi|229915734|ref|NC_012673.1|	1666125	1666247
GZ261FQ01DP68U	152nt	1.3eNegative31	122	146	25	Negative	86.18	gi|229915734|ref|NC_012673.1|	1689042	1689164
GZ261FQ01BZ0QL	208nt	9.6eNegative19	85	206	122	Negative	84.71	gi|229915734|ref|NC_012673.1|	1577435	1577519
GZ261FQ01DZSLH	262nt	4.4eNegative07	53	159	211	Positive	83.02	gi|229915734|ref|NC_012673.1|	1860325	1860377
